seed,model,dataset,num_images_evaluated,segmentation_algorithm,explanation_type,auc_evaluation_version,threshold,option,mean_auc,std_auc,avg_time
0,resnet50,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,1,81.19308412438876,17.12536144494625,0.34181059861183166
0,resnet50,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,1,22.36397538972302,18.317522764782893,0.3357628078460693
0,resnet50,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,2,81.19744997231535,17.145653357090463,0.3149786233901978
0,resnet50,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,1,84.88500973390715,16.1966957072798,1.4111694014072418
0,resnet50,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,2,22.34965810257203,18.29518513820271,0.3160232746601105
0,resnet50,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,1,82.6304475027155,16.270679279286682,0.2039657108783722
0,resnet50,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,1,7.7551936096059455,10.529827845589907,1.2531254868507384
0,resnet50,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,2,85.12898297842774,16.265267421123415,0.2700311551094055
0,resnet50,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,2,7.416270984438096,10.413097195262976,0.2627815787792206
0,resnet50,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,1,22.7996509048749,18.005658517149882,0.19939137268066406
0,resnet50,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,3,81.19952055708033,17.120535209149253,3.331389555692673
0,resnet50,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,2,82.61481159512861,16.322719875091494,0.21914313435554506
0,resnet50,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,3,84.69203400798746,16.109718099038997,2.463844858646393
0,resnet50,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,2,22.813085756615685,18.082051930308886,0.22114633870124817
0,resnet50,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,3,22.41371625103629,18.3700490738725,3.5024707596302034
0,resnet50,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,3,7.725691667790787,10.380289389832637,2.5225350270271303
0,mobilenet_v2,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,1,78.12376800310484,17.000022379336492,0.3023454442024231
0,mobilenet_v2,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,1,19.485649252409807,16.10433445927724,0.30714950585365297
0,mobilenet_v2,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,2,78.13327222906815,16.999879588787262,0.28917628502845766
0,mobilenet_v2,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,2,19.45206560130794,16.1099920569709,0.2895543074607849
0,mobilenet_v2,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,1,83.97964753479886,15.895862273764335,1.269920833826065
0,resnet50,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,3,82.62549426980232,16.292149312990972,1.868106246471405
0,mobilenet_v2,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,3,78.14517221696312,17.000562985978526,1.035915209531784
0,mobilenet_v2,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,1,6.330432440721535,8.816372987913844,1.2230941801071167
0,mobilenet_v2,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,2,83.7786433791058,16.24959301020438,0.2559184548854828
0,mobilenet_v2,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,2,6.074576172469168,8.508035545920302,0.25707182264328005
0,mobilenet_v2,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,3,19.553132669001048,16.13529579313704,1.0756673924922944
0,vit_b16,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,1,76.3569676466657,21.51724509348194,0.2925953409671783
0,vit_b16,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,1,20.54165374956464,18.648944684761833,0.2960644805431366
0,vit_b16,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,2,76.33127103621624,21.529035139637937,0.2913909864425659
0,mobilenet_v2,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,3,83.64541451400439,16.116668255250488,1.2098688673973084
0,vit_b16,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,2,20.559869185533373,18.635952750106444,0.29251713347435
0,mobilenet_v2,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,3,6.249430899242152,8.589275295382649,1.124099097251892
